,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,species
0,39.1,18.7,181,3750,Adelie
1,39.5,17.4,186,3800,Adelie
2,40.3,18,195,3250,Adelie
3,36.7,19.3,193,3450,Adelie
4,39.3,20.6,190,3650,Adelie
5,38.9,17.8,181,3625,Adelie
6,39.2,19.6,195,4675,Adelie
7,41.1,17.6,182,3200,Adelie
8,38.6,21.2,191,3800,Adelie
9,34.6,21.1,198,4400,Adelie
10,36.6,17.8,185,3700,Adelie
11,38.7,19,195,?,Adelie
12,42.5,20.7,197,4500,Adelie
13,34.4,18.4,184,?,Adelie
14,46,21.5,194,4200,Adelie
15,37.8,18.3,174,3400,Adelie
16,37.7,18.7,180,?,Adelie
17,35.9,19.2,189,3800,Adelie
18,38.2,18.1,185,?,Adelie
19,38.8,17.2,180,3800,Adelie
20,35.3,18.9,187,3800,Adelie
21,40.6,18.6,183,3550,Adelie
22,40.5,17.9,187,3200,Adelie
23,37.9,18.6,172,3150,Adelie
24,40.5,18.9,180,?,Adelie
25,39.5,16.7,178,?,Adelie
26,37.2,18.1,178,?,Adelie
27,39.5,17.8,188,3300,Adelie
28,40.9,18.9,184,3900,Adelie
29,36.4,17,195,3325,Adelie
30,39.2,21.1,196,4150,Adelie
31,38.8,20,190,3950,Adelie
32,42.2,18.5,180,3550,Adelie
33,37.6,19.3,181,?,Adelie
34,39.8,19.1,184,?,Adelie
35,36.5,18,182,3150,Adelie
36,40.8,18.4,195,3900,Adelie
37,36,18.5,186,3100,Adelie
38,44.1,19.7,196,4400,Adelie
39,37,16.9,185,?,Adelie
40,39.6,18.8,190,?,Adelie
41,41.1,19,182,?,Adelie
42,36,17.9,190,3450,Adelie
43,42.3,21.2,191,4150,Adelie
44,39.6,17.7,186,3500,Adelie
45,40.1,18.9,188,4300,Adelie
46,35,17.9,190,3450,Adelie
47,42,19.5,200,4050,Adelie
48,34.5,18.1,187,?,Adelie
49,41.4,18.6,191,?,Adelie
50,39,17.5,186,3550,Adelie
51,40.6,18.8,193,3800,Adelie
52,36.5,16.6,181,2850,Adelie
53,37.6,19.1,194,3750,Adelie
54,35.7,16.9,185,?,Adelie
55,41.3,21.1,195,?,Adelie
56,37.6,17,185,3600,Adelie
57,41.1,18.2,192,4050,Adelie
58,36.4,17.1,184,2850,Adelie
59,41.6,18,192,?,Adelie
60,35.5,16.2,195,3350,Adelie
61,41.1,19.1,188,?,Adelie
62,35.9,16.6,190,?,Adelie
63,41.8,19.4,198,4450,Adelie
64,33.5,19,190,?,Adelie
65,39.7,18.4,190,3900,Adelie
66,39.6,17.2,196,3550,Adelie
67,45.8,18.9,197,?,Adelie
68,35.5,17.5,190,3700,Adelie
69,42.8,18.5,195,?,Adelie
70,40.9,16.8,191,3700,Adelie
71,37.2,19.4,184,3900,Adelie
72,36.2,16.1,187,?,Adelie
73,42.1,19.1,195,4000,Adelie
74,34.6,17.2,189,3200,Adelie
75,42.9,17.6,196,4700,Adelie
76,36.7,18.8,187,3800,Adelie
77,35.1,19.4,193,4200,Adelie
78,37.3,17.8,191,3350,Adelie
79,41.3,20.3,194,3550,Adelie
80,36.3,19.5,190,?,Adelie
